ฝันเห็นกก | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นต้นกก ทำนายว่า อาจจะเข้าไปอยู่ในสถานการณ์ที่มีคนทะเลาะเบาะแว้งกัน และจะต้องเป็นคนกลางในการไกล่เกลี่ยความขัดแย้งที่เกิดขึ้น หรืออีกแง่หนึ่งจะได้เป็นคนกลางในการช่วยให้คู่รักที่ทะเลาะกันได้ปรับความเข้าใจกันอีกครั้ง | เลขเด็ด: ไม่ระบุ
ฝันเห็นดู | การงาน: ฝันเห็นซินแสหรือหมอดู ทำนายว่า อุปสรรคในการงานจะหมดไป จะมีคนมาช่วยเหลือชี้ทางให้ | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นเด็ก | การงาน: ไม่ชัดเจน | ความรัก: ฝันว่าอุ้มเด็ก ทำนายว่า คนโสดจะได้คู่ คนมีคู่จะได้ลูก | เลขเด็ด: 66 , 69 , 606 , 669 , 667
ฝันเห็นเดินทาง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 16 , 19 , 66 , 169 , 609 , 166
ฝันเห็นเดินทาง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 16 , 19 , 66 , 169 , 609 , 166
ฝันเห็นเดินเรือ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นเดือน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 11 , 12 , 114 , 110 , 164
ฝันเห็นแดง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นแดด | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นโดด | การงาน: ฝันว่ากระโดดจากที่สูงลงมาที่ต่ำ หรือกระโดดข้ามฝั่งน้ำ ทำนายว่า จะได้รับเคราะห์หรือโชคร้ายจากการงานในหน้าที่ | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นโดนยิง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นโดม | การงาน: ฝันเห็นยอดตึกสูงเป็นรูปหลังคากลม หรือยอดสูงเป็นรูปโดม  ทำนายว่า จะได้รับข่าวดี หรือโชคลาภในทางการงาน และการเงินจากผู้ใหญ่ | ความรัก: ไม่ชัดเจน | เลขเด็ด: 19 , 49 , 119 , 149 , 409
ฝันเห็นชั้นหนังสือ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นตก | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 17 , 27 , 24 , 247 , 347
ฝันเห็นตก | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 17 , 27 , 24 , 247 , 347
ฝันเห็นตกกล้า | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นตกใจ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 38 , 37 , 378 , 367 , 317
ฝันเห็นตกทุกข์ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นตกน้ำ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 29 , 21 , 26 , 269 , 221 , 662
ฝันเห็นตกบ่อ | การงาน: ฝันว่าตนเองตกลงไปในบ่อหรือหลุมโสโครกมีหนอนไต่ยั้วเยี้ยเป็นที่ขยะแขยง  ทำนายว่า จะได้ลาภทางการเสี่ยงเป็นกอบเป็นกำ ถ้าฝันว่าตกลงไปในบ่อขี้ มีอุจจาระติดเนื้อติดตัวเราขึ้นมา  ทำนายว่า จะได้รับการมัวหมองจากหน้าที่การงาน หรือได้รับการติฉินนินทาไปในทางเสื่อมเสีย | ความรัก: ไม่ชัดเจน | เลขเด็ด: 13 , 17 , 37 , 107 , 309 , 153
ฝันเห็นตกปลา | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 18 , 68 , 168 , 178 , 708 , 668
